UTM_EZ,UTM_NZ,UTM_E_UTM_NZ,UTM_E2Z,UTM_N2Z,near_roadZ,near_frshwZ,near_saltwZ,URB_1KMZ,RUR_1KMZ,FOR1_1KMZ,FOR2_1KMZ,HRB_1KMZ,SAV_1KMZ,SHR_1KMZ,WET_1KMZ,URB_100Z,RUR_100Z,FOR1_100Z,FOR2_100Z,HRB_100Z,SAV_100Z,SHR_100Z,WET_100Z,Near_UrbZ,CR_CL0Z,CR_CL_2Z,CR_CL_3Z,BRDLFZ,OF_100Z,OF_1KZ,Is_sizeZ,rd_up_100Z,rd_p_100Z,rd_up_1kZ,rd_p_1kZ,EOSD_DZ,EOSD_OZ,EOSD_SZ,CR_CLZ
0.226083251,-0.543374479,0.188782073,0.215645034,-0.541776458,-0.374888532,-0.859529482,-0.253124405,-0.279998092,-0.021395428,0.321099123,-0.880677719,-0.468591018,0.047929769,-0.338738833,-0.241304216,-0.160102456,-0.345095056,1.491034958,-0.614448448,-0.204427563,-0.45399475,-0.173842912,-0.236196717,-0.294078464,-0.758885054,1.764472819,-0.29443651,-0.443058995,-0.903242261,0.050675647,-0.491277292,-0.542481013,-0.399872151,-0.178460604,-0.47685753,-0.572776283,1.738934831,-0.763953708,0.87557641
0.227808246,-0.553868066,0.189484502,0.217502299,-0.552176761,-0.342781552,-0.771458249,-0.464372615,-0.279998092,-0.021395428,0.077698804,-0.880677719,-0.468591018,-0.267834099,-0.338738833,-0.241304216,-0.160102456,-0.321087903,1.267539364,-0.614448448,-0.204427563,-0.45399475,-0.173842912,-0.236196717,-0.243368607,-0.473360964,0.405923857,0.015876243,-0.443058995,-0.903242261,-0.244490553,-0.491277292,-0.542481013,-0.399872151,-0.308323997,-0.47685753,-0.36735743,0.377579608,-0.479407106,0.013451728
0.237726964,-0.551503314,0.200414282,0.228184624,-0.549833079,-0.571012166,-0.583341666,-0.446516066,-0.279998092,-0.021395428,0.234369708,-0.880677719,-0.468591018,-0.507091487,-0.338738833,-0.241304216,-0.160102456,2.578987498,-0.708424778,-0.614448448,-0.204427563,-0.45399475,-0.173842912,-0.236196717,-0.121061031,-0.338261307,-1.136152004,-0.427129024,-0.443058995,-0.903242261,0.030382372,-0.491277292,-0.29963595,-0.399872151,-0.300735161,-0.47685753,-0.660615224,-1.167681613,-0.344769961,-1.292475249
0.246136312,-0.549508054,0.209679973,0.237245455,-0.547855575,-0.593287861,-0.477675866,-0.354861377,-0.279998092,-0.021395428,0.211181494,-0.880677719,-0.468591018,-0.541863034,-0.338738833,-0.241304216,-0.160102456,3.114759858,-1.076345442,-0.614448448,-0.204427563,-0.45399475,-0.173842912,-0.236196717,-0.01478222,-0.772528779,-1.507846093,-0.5652902,-0.443058995,-0.903242261,0.020506651,-0.491277292,1.326283982,-0.399872151,-0.315614029,-0.47685753,-0.752074276,-1.540143484,-0.777550724,-1.671831117
0.258081898,-0.543743971,0.22316479,0.250122912,-0.542142675,-0.435981697,-0.365382455,-0.47237306,-0.279998092,-0.040906401,-0.030454767,-0.880677719,-0.468591018,-0.665403891,-0.338738833,-0.241613808,-0.160102456,-0.490026638,1.081553224,-0.614448448,-0.204427563,-0.45399475,-0.173842912,-0.236196717,0.135252627,-0.806521635,0.664451615,-0.439670626,-0.333498592,1.106954448,-0.014520181,-0.491277292,-0.542481013,-0.399872151,-0.422165528,-0.47685753,-0.557230275,0.636641389,-0.811427206,0.058482812
0.258858146,-0.535984628,0.224853934,0.250959976,-0.534451972,-0.280911345,-0.396443669,-0.321182253,-0.279998092,-0.061662815,-0.031378442,-0.880677719,-0.468591018,-0.573018279,-0.338738833,-0.317897186,-0.160102456,-0.490026638,1.598581231,-0.614448448,-0.204427563,-0.45399475,-0.173842912,-0.236196717,0.142481323,-0.806521635,1.404120856,1.175588583,-0.443058995,1.692785877,0.043552284,-0.491277292,-0.542481013,-0.399872151,-0.366095564,-0.47685753,0.400341532,1.377838514,-0.811427206,1.167146428
0.242298199,-0.527929692,0.207924369,0.233109535,-0.526467972,-0.440649936,-0.693033513,-0.300872754,-0.279998092,-0.021395428,0.215258561,-0.880677719,-0.468591018,-0.144552735,-0.338738833,-0.241304216,-0.160102456,-0.490026638,1.598581231,-0.614448448,-0.204427563,-0.45399475,-0.173842912,-0.236196717,-0.07183433,-0.806521635,1.142978803,2.128518509,-0.443058995,1.692785877,0.169587766,-0.491277292,-0.542481013,-0.399872151,-0.178460604,-0.47685753,1.031155992,1.116157038,-0.811427206,1.339072683
0.231867158,-0.545104775,0.194814059,0.221873063,-0.54349141,-0.335306079,-0.737839603,-0.325366173,-0.279998092,-0.021395428,0.313572917,-0.880677719,-0.468591018,-0.250468175,-0.338738833,-0.241304216,-0.160102456,1.148737001,0.382539012,-0.614448448,-0.204427563,-0.45399475,-0.173842912,-0.236196717,-0.21396108,-0.437579608,-0.572172674,-0.514842059,-0.443058995,-0.903242261,0.108532596,-0.491277292,-0.542481013,-0.399872151,-0.190019371,-0.47685753,-0.718678938,-0.60253731,-0.443748247,-0.916595291
0.238918072,-0.530292522,0.204028003,0.229467782,-0.528810028,-0.549221188,-0.777491302,-0.249803894,-0.279998092,-0.021395428,0.251210899,-0.880677719,-0.468591018,-0.137297043,-0.338738833,-0.241304216,-0.160102456,-0.490026638,1.598581231,-0.614448448,-0.204427563,-0.45399475,-0.173842912,-0.236196717,-0.12075009,-0.806521635,1.379216413,1.26646705,-0.443058995,1.689692335,0.171732439,-0.491277292,0.050594693,-0.399872151,-0.178460604,-0.47685753,0.460500678,1.352882627,-0.811427206,1.183542591
0.238028838,-0.522609,0.20391619,0.22850982,-0.521193961,-0.483708283,-0.683318242,-0.377655552,-0.279998092,-0.021395428,0.180388106,-0.880677719,-0.468591018,-0.137297043,-0.338738833,-0.241304216,-0.160102456,-0.490026638,1.598581231,-0.614448448,-0.204427563,-0.45399475,-0.173842912,-0.236196717,-0.116091308,-0.806521635,0.732715986,3.625602999,-0.443058995,1.692785877,0.171732439,-0.491277292,-0.542481013,-0.399872151,-0.178460604,-0.47685753,2.022186413,0.705046769,-0.811427206,1.609174526
