Index,Location,UTM_E,UTM_N
446,SAT-B04,485201,5403442
447,SAT-B05,486564,5404509
448,SAT-B06,486275,5404558
449,SAT-B07,486440,5406155
450,SAT-B08,486222,5406203
451,SAT-B09,486121,5406298
452,SAT-B10,486180,5406398
453,SAT-B11,486202,5406611
454,SAT-B12,486254,5406708
455,SAT-B13,486313,5406448
456,SAT-B14,488056,5404164
457,SAT-B15,488076,5404342
458,SAT-B16,487933,5404382
459,SAT-B17,487617,5404436
460,SAT-B18,487479,5404535
461,SAT-B19,486834,5402388
462,SAT-B20,486959,5402320
463,SAT-B21,487171,5402292
464,SAT-B22,487330,5402209
465,SAT-B23,486850,5402522
466,SAT-B24,486743,5403342
467,SAT-B25,485290,5402597
468,SAT-B26,485481,5402441
469,SAT-B27,486649,5402013
470,SAT-B28,486685,5401883
471,SAT-B29,486844,5401845
472,SAT-B30,487001,5401781
473,SAT-B31,487237,5401702
474,SAT-B32,487417,5401662
475,SAT-B33,487621,5401580
476,SAT-B34,487878,5401475
477,SAT-B35,488006,5401576
478,SAT-B36,488141,5401516
479,SAT-B37,488208,5401638
480,SAT-B38,488363,5401566
481,SAT-B39,496668,5403558
482,SAT-B40,496637,5403429
483,SAT-B41,496548,5403264
484,SHE-B01,472355.57,5390773.151
485,SHE-B04,472551.99,5390827.207
486,SHE-B05,472452.98,5390800.982
487,SHE-B06,472498.47,5390912.305
488,SHE-B07,472652.07,5390852.362
489,SID-B01,475816.57,5387363.201
490,SID-B02,475840.23,5387482.917
491,SID-B03,475778.0017,5387158.097
492,SID-B04,476388.9404,5386803.557
493,SID-B05,476522.3076,5386688.134
494,SID-B06,476656.6699,5386515.277
495,SID-B07,476815.4171,5385999.58
496,SID-B08,476374.9625,5385814.294
497,SID-B09,475880.4455,5385631.125
498,SID-B10,476402.9068,5386034.643
499,SID-B11,476337.3008,5386496.232
500,SID-B12,475914.7993,5386483.204
501,SID-B13,475952.9794,5386221.815
502,SID-B14,475721.0549,5387402.959
503,SID-B15,475976.5837,5385997.542
504,SID-B16,476103.6469,5386419.408
505,SID-B17,475683.0023,5387718.097
506,SID-B19,475928.0043,5387406.095
507,SID-B20,476026.14,5386922.848
508,SID-B21,476143.004,5387151.095
509,SID-B22,476252.0002,5387001.09
510,SID-B23,475711.9,5387621.211
511,SID-B24,475720.07,5387504.279
512,SID-B26,475947,5387296
513,SID-B27,476139.71,5387049.628
514,SID-B29,478243,5384830
515,SID-B30,478305.45,5384667.672
516,SID-B31,478398.22,5384623.279
517,SID-B32,476420,5386230
518,SID-B33,476104.2933,5386745.928
519,SID-B34,476155.7365,5386506.879
520,SID-B35,476531.8499,5386131.608
521,SID-B36,478998,5384285
522,SID-B37,479103,5384022
523,SID-B38,479028,5383903
524,SID-B39,479118.15,5383857.447
525,SID-B40,478025,5384591
526,SID-B41,477891,5384446
527,SID-B42,477786,5384230
528,SID-B43,477620,5384316
529,SID-B44,477620,5383375
530,SID-B45,477450,5383431
531,SID-B46,477596,5383144
532,SID-B47,477772,5383094
533,SID-B48,477931,5383234
534,SID-B49,477835,5383369
535,SID-B50,478337,5384492
536,SID-B51,478459,5384514
537,SID-B52,478589,5384449
538,SID-B53,478828,5384228
539,SID-B54,475532.2195,5386049.478
540,SUN-B01,395693.4004,5516018.578
541,SUN-B02,395751.7498,5515881.878
542,SUN-B03,395771.0686,5515744.932
543,SUN-B04,391047.9065,5519254.831
544,SUN-B05,390972.804,5519110.317
545,SUN-B06,390934.0836,5518982.084
546,SUN-B07,386721.9903,5527938.549
547,SUN-B08,386840.8334,5527805.247
548,SUN-B09,386939.1072,5527732.331
549,SUN-B10,384752.7552,5531228.86
550,SUN-B11,384734.5767,5531087.769
551,SUN-B12,384762.525,5530937.681
552,SUN-B13,374783.9276,5537106.337
553,SUN-B14,374637.8362,5537086.724
554,SUN-B15,374466.4577,5537038.118
555,TEN-B01,453775.6778,5419773.625
556,TEN-B02,453781.14,5419990.362
557,TEN-B03,453995.4716,5419630.988
558,TEN-B04,454122.3568,5419472.449
559,TEN-B05,454121.3791,5419205.648
560,TEN-B06,453852.8999,5419369.065
561,TUM-B01,495401,5404630
562,TUM-B02,495283,5404766
563,TUM-B03,495049,5404681
564,TUM-B04,494785,5404725
565,TUM-B05,494894,5404862
566,TUM-B06,494721,5404589
567,TUM-B07,494575,5404477
568,TUM-B08,494362,5404511
569,TUM-B09,494201,5404532
570,TUM-B10,493994,5404588
571,TUM-B11,493774,5404617
572,TUM-B12,493592,5404700
573,TUM-B13,493399,5404753
574,TUM-B14,493221,5404820
575,TUM-B15,493062,5404825
576,TUM-B16,494794,5404487
577,TUM-B17,494997,5404466
578,TUM-B18,495305,5404432
579,VIC-B01,439466.6001,5401176.129
580,VIC-B02,439595.3681,5401073.571
581,VIC-B03,439567.0695,5400950.92
582,VIC-B04,454985.8376,5393530.138
583,VIC-B05,454939.6817,5393363.649
584,VIC-B06,454964.2937,5393138.118
585,VIC-B07,453452.3415,5404346.304
586,VIC-B08,453349.0363,5404254.673
587,VIC-B09,453482.6616,5404176.521
588,VIC-B10,452852.8784,5410636.249
589,VIC-B11,453070.3082,5410517.8
590,VIC-B12,452974.8929,5410374.75
591,VIC-B13,454242.3055,5411513.706
592,VIC-B14,454382.8661,5411595.042
593,VIC-B15,454525.0997,5411693.156
594,VIN-B01,431030,5447279
595,VIN-B02,433063,5442397
596,VIN-B03,434768,5440272
597,VIN-B04,434695,5440469
598,VIN-B05,436627,5440356
599,VIN-B06,437319,5439065
600,VIN-B07,438553,5438205
601,VIN-B08,439105,5437412
602,VIN-B09,437742,5438131
603,VIN-B10,437898,5437609
604,VIN-B11,438317,5437322
605,VIN-B12,430511,5447057
606,VIN-B13,438484,5436688
607,VIN-B14,430424,5446780
608,VIN-B15,430209,5447177
609,VIN-B16,429820,5447453
610,VIN-B17,431764,5446461
611,VIN-B18,432073,5446100
612,VIN-B19,431720,5445275
613,VIN-B20,431722,5444007
614,VIQ-B01,383301.0191,5467017.479
615,VIQ-B02,383375.2064,5467099.313
616,VIQ-B03,383430.3672,5467246.724
617,VIQ-B04,387947.715,5463338.102
618,VIQ-B05,388112.2392,5463387.127
619,VIQ-B06,388281.6968,5463421.488
620,VIQ-B07,407651.3298,5463843.269
621,VIQ-B08,407546.9708,5463939.656
622,VIQ-B09,407481.3134,5463813.439
623,VIQ-B10,415001.6907,5459999.752
624,VIQ-B11,415173.84,5460144.647
625,VIQ-B12,415047.7309,5460159.604
626,VIQ-B13,416067.2028,5458522.409
627,VIQ-B14,415931.3856,5458518.813
628,VIQ-B15,415796.4793,5458508.201
629,VIS-B01,470229,5388370
630,VIS-B02,470553,5388265
631,VIS-B03,470842,5388369
632,VIS-B04,468228,5385041
633,VIS-B05,469291,5385036
634,VIS-B06,470021,5392524
635,VIS-B07,470221.04,5392611.687
636,VIS-B08,470382,5392766
637,VIS-B09,470319.46,5392586.957
638,VIS-B10,470457,5392612
639,VIS-B11,470014,5392687
640,VIS-B12,469805,5392360
641,VIS-B13,469891,5392301
642,VIS-B14,469984,5392250
643,VIS-B15,468705,5391413
644,VIS-B16,468638,5391152
645,VIS-B17,468770,5391014
646,VIS-B18,468800,5390827
647,VIS-B19,469034,5390715
648,VIS-B20,468534,5391402
649,VIS-B21,468884,5391303
650,VIS-B22,467062,5384540
651,VIS-B23,466891,5384436
652,VIS-B24,466835.2,5384288.07
653,VIS-B25,466852,5384188
654,VIS-B26,466979,5384097
655,VIS-B27,467118,5384189
656,VIS-B28,467227,5384317
657,VIS-B29,467310,5384509
658,VIS-B30,467144,5384662
659,VIS-B31,466970,5384654
660,VIS-B32,466865,5384816
661,VIS-B33,467045,5384817
662,VIS-B34,467202,5384839
663,VIS-B35,467370,5384817
664,VIS-B36,467397,5384984
665,VIS-B37,467330,5385129
666,VIS-B38,467351,5385288
667,VIS-B39,467494,5385283
668,VIS-B40,467745,5385457
669,VIS-B41,468921,5384146
670,VIS-B42,469138,5384284
671,VIS-B43,468642,5384229
672,VIS-B44,468378,5384069
673,VIS-B45,468448,5382850
674,VIS-B46,468377,5382524
675,VIS-B47,468503,5382618
676,VIS-B48,468269,5382826
677,VIS-B49,468066,5382831
678,VIV-B01,469683.1215,5377036.19
679,VIV-B02,469850.7071,5377071.864
680,VIV-B03,470072.3632,5377088.469
681,VIV-B04,472132.6891,5369052.519
682,VIV-B05,472255.9962,5369087.372
683,VIV-B06,471972.1649,5368980.17
684,VIV-B07,465513.4103,5368114.587
685,VIV-B08,465622.7401,5367967.748
686,VIV-B09,465746.5185,5368057.369
