Site,Repeats,Start,Max
546,3,1389,0
547,3,1392,0
548,3,1395,0
549,3,1398,1
550,3,1401,1
551,3,1404,0
552,3,1407,0
553,3,1410,0
554,3,1413,0
555,1,1416,0
556,1,1417,0
557,1,1418,0
558,1,1419,1
559,1,1420,0
560,1,1421,0
561,1,1422,0
562,1,1423,0
563,3,1424,0
564,1,1427,0
565,3,1428,1
566,1,1431,0
567,3,1432,1
568,1,1435,0
569,3,1436,1
570,1,1439,0
571,3,1440,0
572,1,1443,0
573,2,1444,1
574,1,1446,1
575,4,1447,0
576,1,1451,1
577,3,1452,0
578,1,1455,1
579,3,1456,0
580,3,1459,1
581,3,1462,0
582,3,1465,1
583,3,1468,0
584,3,1471,1
585,3,1474,0
586,3,1477,0
587,3,1480,0
588,3,1483,1
589,3,1486,0
590,3,1489,0
591,3,1492,0
592,3,1495,1
593,3,1498,1
594,3,1501,0
595,3,1504,0
596,3,1507,0
597,3,1510,0
598,3,1513,0
599,3,1516,0
600,3,1519,0
601,2,1522,0
602,3,1524,0
603,3,1527,0
604,3,1530,0
605,2,1533,1
606,3,1535,0
607,3,1538,0
608,2,1541,1
609,2,1543,0
610,3,1545,0
611,2,1548,0
612,3,1550,0
613,3,1553,0
614,3,1556,0
615,3,1559,0
616,3,1562,1
617,3,1565,0
618,3,1568,0
619,3,1571,0
620,3,1574,0
621,3,1577,0
622,3,1580,1
623,3,1583,1
624,3,1586,0
625,3,1589,0
626,3,1592,0
627,3,1595,0
628,3,1598,1
629,3,1601,0
630,3,1604,0
631,3,1607,0
632,3,1610,0
633,3,1613,0
634,1,1616,1
635,1,1617,1
636,1,1618,0
637,1,1619,0
638,1,1620,1
639,1,1621,0
640,1,1622,0
641,1,1623,0
642,1,1624,0
643,1,1625,0
644,1,1626,1
645,1,1627,0
646,1,1628,0
647,1,1629,0
648,1,1630,0
649,1,1631,0
650,5,1632,1
651,1,1637,0
652,1,1638,1
653,1,1639,0
654,2,1640,1
655,2,1642,1
656,2,1644,1
657,1,1646,0
658,1,1647,1
659,5,1648,1
660,5,1653,1
661,5,1658,1
662,1,1663,1
663,1,1664,0
664,1,1665,1
665,1,1666,0
666,1,1667,0
667,1,1668,0
668,1,1669,1
669,1,1670,0
670,1,1671,0
671,1,1672,0
672,1,1673,0
673,1,1674,0
674,1,1675,0
675,1,1676,0
676,1,1677,0
677,1,1678,0
678,3,1679,1
679,3,1682,1
680,3,1685,1
681,3,1688,0
682,3,1691,1
683,3,1694,0
684,3,1697,1
685,3,1700,0
686,3,1703,0
687,3,1706,1
688,3,1709,0
689,3,1712,0
690,2,1715,0
691,2,1717,0
692,2,1719,0
693,2,1721,0
694,2,1723,0
695,2,1725,0
696,2,1727,0
697,2,1729,0
698,2,1731,0
699,2,1733,1
700,2,1735,1
701,2,1737,0
702,2,1739,0
703,2,1741,1
704,2,1743,0
705,2,1745,0
706,2,1747,0
707,2,1749,0
708,2,1751,1
709,2,1753,0
710,2,1755,0
711,3,1757,0
712,3,1760,0
713,3,1763,0
