Site,Near,Distance
459,460,169.83815825700
460,459,169.83815825700
461,462,142.29898102200
461,465,134.95184326300
462,461,142.29898102200
462,463,213.84106247400
462,465,229.53213282700
463,462,213.84106247400
463,464,179.35997323800
464,463,179.35997323800
465,461,134.95184326300
465,462,229.53213282700
467,468,246.61102976100
468,467,246.61102976100
469,470,134.89254983100
470,469,134.89254983100
470,471,163.47782724300
471,470,163.47782724300
471,472,169.54350474100
472,471,169.54350474100
472,473,248.87145276200
473,472,248.87145276200
473,474,184.39088914600
474,473,184.39088914600
474,475,219.86359407600
475,474,219.86359407600
476,477,163.04907236800
477,476,163.04907236800
477,478,147.73286702700
477,479,211.30073355300
478,477,147.73286702700
478,479,139.18692467300
478,480,227.56098083800
479,477,211.30073355300
479,478,139.18692467300
479,480,170.90640713600
480,478,227.56098083800
480,479,170.90640713600
481,482,132.67252918400
482,481,132.67252918400
482,483,187.47266467400
483,482,187.47266467400
484,139,177.60861381400
484,485,203.72252584400
484,486,101.30781145100
484,487,199.45988497900
485,484,203.72252584400
485,486,102.42426824300
485,487,100.52890133600
485,488,103.19292817300
486,484,101.30781145100
486,485,102.42426824300
486,487,120.25868130400
486,488,205.61306500300
487,484,199.45988497900
487,485,100.52890133600
487,486,120.25868130400
487,488,164.88214957700
488,485,103.19292817300
488,486,205.61306500300
488,487,164.88214957700
489,490,122.03161990200
489,491,208.69874120600
489,502,103.45947102800
489,506,119.40476729400
489,511,170.92469711500
489,512,146.72409243600
490,489,122.03161990200
490,502,143.51271504100
490,506,116.64453448200
490,510,188.66324320300
490,511,122.04409303200
490,512,215.26216060700
491,489,208.69874120600
491,512,218.12304511900
492,493,176.37849346300
492,509,240.35764908100
493,492,176.37849346300
493,494,218.93549028300
494,493,218.93549028300
496,498,222.11441062800
498,496,222.11441062800
498,517,196.10319434900
498,520,161.33347913100
499,504,245.95950340500
499,519,181.87616522800
500,504,199.33224716200
500,519,242.09759558300
501,503,225.51192132600
501,504,248.48285358700
502,489,103.45947102800
502,490,143.51271504100
502,506,206.97310705900
502,510,218.44344976800
502,511,101.32431130000
502,512,249.98299419200
503,501,225.51192132600
504,499,245.95950340500
504,500,199.33224716200
504,501,248.48285358700
504,519,101.80640408800
505,510,101.10377867000
505,511,217.00726141600
506,489,119.40476729400
506,490,116.64453448200
506,502,206.97310705900
506,511,229.94949656900
506,512,111.72173308500
507,509,239.02853492400
507,513,170.20961576800
507,518,193.41309340600
508,509,185.42295337800
